"Town","FIPS","Year","Year Submitted","Town Profile Year","Variable","Measure Type","Value"
"Colebrook","0900516050",2016,2017,2017,"Net Grand List","Number",183081827
"Colebrook","0900516050",2016,2017,2017,"Top 10 Total Grand List","Number",38363965
"Colebrook","0900516050",2016,2017,2017,"Total Grand List","Number",184373687
"Columbia","0901316400",2014,2015,2016,"Net Grand List","Number",471671182
"Columbia","0901316400",2014,2015,2016,"Top 10 Total Grand List","Number",21624665
"Columbia","0901316400",2014,2015,2016,"Total Grand List","Number",475686812
"Columbia","0901316400",2016,2017,2017,"Net Grand List","Number",484327079
"Columbia","0901316400",2016,2017,2017,"Top 10 Total Grand List","Number",0
"Columbia","0901316400",2016,2017,2017,"Total Grand List","Number",490298778
"Cornwall","0900517240",2014,2015,2016,"Net Grand List","Number",403063800
"Cornwall","0900517240",2014,2015,2016,"Top 10 Total Grand List","Number",46239490
"Cornwall","0900517240",2014,2015,2016,"Total Grand List","Number",403968470
"Cornwall","0900517240",2016,2017,2017,"Net Grand List","Number",390283120
"Cornwall","0900517240",2016,2017,2017,"Top 10 Total Grand List","Number",44996200
"Cornwall","0900517240",2016,2017,2017,"Total Grand List","Number",391299230
"Coventry","0901317800",2011,2012,2016,"Net Grand List","Number",983526745
"Coventry","0901317800",2011,2012,2016,"Top 10 Total Grand List","Number",27690620
"Coventry","0901317800",2011,2012,2016,"Total Grand List","Number",989203685
"Coventry","0901317800",2016,2017,2017,"Net Grand List","Number",951967368
"Coventry","0901317800",2016,2017,2017,"Top 10 Total Grand List","Number",35896920
"Coventry","0901317800",2016,2017,2017,"Total Grand List","Number",960348164
"Cromwell","0900718080",2014,2015,2016,"Net Grand List","Number",1289926800
"Cromwell","0900718080",2014,2015,2016,"Top 10 Total Grand List","Number",302482760
"Cromwell","0900718080",2014,2015,2016,"Total Grand List","Number",1390762380
"Cromwell","0900718080",2014,2017,2017,"Net Grand List","Number",1290318935
"Cromwell","0900718080",2014,2017,2017,"Top 10 Total Grand List","Number",101819670
"Cromwell","0900718080",2014,2017,2017,"Total Grand List","Number",1303866750
"Danbury","0900118500",2009,2010,2016,"Net Grand List","Number",7860745248
"Danbury","0900118500",2009,2010,2016,"Top 10 Total Grand List","Number",635122220
"Danbury","0900118500",2009,2010,2016,"Total Grand List","Number",10208915949
"Danbury","0900118500",2009,2010,2017,"Net Grand List","Number",7860745248
"Danbury","0900118500",2009,2010,2017,"Top 10 Total Grand List","Number",635122220
"Danbury","0900118500",2009,2010,2017,"Total Grand List","Number",10208915949
"Darien","0900118850",2013,2015,2016,"Net Grand List","Number",8285454606
"Darien","0900118850",2013,2015,2016,"Top 10 Total Grand List","Number",321525196
"Darien","0900118850",2013,2015,2016,"Total Grand List","Number",8286612726
"Darien","0900118850",2016,2017,2017,"Net Grand List","Number",8521512679
"Darien","0900118850",2016,2017,2017,"Top 10 Total Grand List","Number",282591461
"Darien","0900118850",2016,2017,2017,"Total Grand List","Number",8523910556
"Deep River","0900719130",2014,2015,2016,"Net Grand List","Number",499552409
"Deep River","0900719130",2014,2015,2016,"Top 10 Total Grand List","Number",50620261
"Deep River","0900719130",2014,2015,2016,"Total Grand List","Number",510961673
"Deep River","0900719130",2016,2015,2017,"Net Grand List","Number",499045586
"Deep River","0900719130",2016,2015,2017,"Top 10 Total Grand List","Number",32789997
"Deep River","0900719130",2016,2015,2017,"Total Grand List","Number",631164334
"Derby","0900919550",2014,2015,2016,"Net Grand List","Number",748833439
"Derby","0900919550",2014,2015,2016,"Top 10 Total Grand List","Number",70229552
"Derby","0900919550",2014,2015,2016,"Total Grand List","Number",755924900
"Derby","0900919550",2015,2017,2017,"Net Grand List","Number",721747773
"Derby","0900919550",2015,2017,2017,"Top 10 Total Grand List","Number",71650695
"Derby","0900919550",2015,2017,2017,"Total Grand List","Number",727101168
"Durham","0900720810",2009,2010,2016,"Net Grand List","Number",780772117
"Durham","0900720810",2009,2010,2016,"Top 10 Total Grand List","Number",44400170
"Durham","0900720810",2009,2010,2016,"Total Grand List","Number",795226321
"Durham","0900720810",2009,2010,2017,"Net Grand List","Number",780772117
"Durham","0900720810",2009,2010,2017,"Top 10 Total Grand List","Number",44400170
"Durham","0900720810",2009,2010,2017,"Total Grand List","Number",795226321
"Eastford","0901521860",2013,2014,2016,"Net Grand List","Number",141272662
"Eastford","0901521860",2013,2014,2016,"Top 10 Total Grand List","Number",8860310
"Eastford","0901521860",2013,2014,2016,"Total Grand List","Number",162733362
"Eastford","0901521860",2013,2014,2017,"Net Grand List","Number",141272662
"Eastford","0901521860",2013,2014,2017,"Top 10 Total Grand List","Number",8860310
"Eastford","0901521860",2013,2014,2017,"Total Grand List","Number",162733362
"East Granby","0900322070",2014,2015,2016,"Net Grand List","Number",581485097
"East Granby","0900322070",2014,2015,2016,"Top 10 Total Grand List","Number",107672322
"East Granby","0900322070",2014,2015,2016,"Total Grand List","Number",627500234
"East Granby","0900322070",2016,2017,2017,"Net Grand List","Number",581515512
"East Granby","0900322070",2016,2017,2017,"Top 10 Total Grand List","Number",111135911
"East Granby","0900322070",2016,2017,2017,"Total Grand List","Number",632765214
"East Haddam","0900722280",2014,2015,2016,"Net Grand List","Number",852756014
"East Haddam","0900722280",2014,2015,2016,"Top 10 Total Grand List","Number",49611230
"East Haddam","0900722280",2014,2015,2016,"Total Grand List","Number",922459425
"East Haddam","0900722280",2016,2017,2017,"Net Grand List","Number",857551748
"East Haddam","0900722280",2016,2017,2017,"Top 10 Total Grand List","Number",35428650
"East Haddam","0900722280",2016,2017,2017,"Total Grand List","Number",867709046
"East Hampton","0900722490",2013,2014,2016,"Net Grand List","Number",1136056629
"East Hampton","0900722490",2013,2014,2016,"Top 10 Total Grand List","Number",41097587
"East Hampton","0900722490",2013,2014,2016,"Total Grand List","Number",1142151314
"East Hampton","0900722490",2016,2017,2017,"Net Grand List","Number",1143142817
"East Hampton","0900722490",2016,2017,2017,"Top 10 Total Grand List","Number",40975082
"East Hampton","0900722490",2016,2017,2017,"Total Grand List","Number",1149028970
"East Hartford","0900322630",2014,2015,2016,"Net Grand List","Number",2693033920
"East Hartford","0900322630",2014,2015,2016,"Top 10 Total Grand List","Number",702607871
"East Hartford","0900322630",2014,2015,2016,"Total Grand List","Number",2997298726
"East Hartford","0900322630",2014,2015,2017,"Net Grand List","Number",2693033920
"East Hartford","0900322630",2014,2015,2017,"Top 10 Total Grand List","Number",702607871
"East Hartford","0900322630",2014,2015,2017,"Total Grand List","Number",2997298726
"East Haven","0900922910",2014,2015,2016,"Net Grand List","Number",1995307654
"East Haven","0900922910",2014,2015,2016,"Top 10 Total Grand List","Number",129590140
"East Haven","0900922910",2014,2015,2016,"Total Grand List","Number",2017860905
"East Haven","0900922910",2016,2017,2017,"Net Grand List","Number",1961193636
"East Haven","0900922910",2016,2017,2017,"Top 10 Total Grand List","Number",146699730
"East Haven","0900922910",2016,2017,2017,"Total Grand List","Number",1962907473
"East Lyme","0901123400",2014,2015,2016,"Net Grand List","Number",2086779308
"East Lyme","0901123400",2014,2015,2016,"Top 10 Total Grand List","Number",71601230
"East Lyme","0901123400",2014,2015,2016,"Total Grand List","Number",2100447088
"East Lyme","0901123400",2016,2015,2017,"Net Grand List","Number",2149961115
"East Lyme","0901123400",2016,2015,2017,"Top 10 Total Grand List","Number",228925384
"East Lyme","0901123400",2016,2015,2017,"Total Grand List","Number",2162590555
"Easton","0900123890",2009,2010,2016,"Net Grand List","Number",1585344340
"Easton","0900123890",2009,2010,2016,"Top 10 Total Grand List","Number",63863280
"Easton","0900123890",2009,2010,2016,"Total Grand List","Number",1680585670
"Easton","0900123890",2016,2017,2017,"Net Grand List","Number",1280632128
"Easton","0900123890",2016,2017,2017,"Top 10 Total Grand List","Number",59106933
"Easton","0900123890",2016,2017,2017,"Total Grand List","Number",1368308688
"East Windsor","0900324800",2014,2015,2016,"Net Grand List","Number",951995751
"East Windsor","0900324800",2014,2015,2016,"Top 10 Total Grand List","Number",135984840
"East Windsor","0900324800",2014,2015,2016,"Total Grand List","Number",1066551451
"East Windsor","0900324800",2016,2017,2017,"Net Grand List","Number",962146920
"East Windsor","0900324800",2016,2017,2017,"Top 10 Total Grand List","Number",143530870
"East Windsor","0900324800",2016,2017,2017,"Total Grand List","Number",996080360
"Ellington","0901325360",2013,2014,2016,"Net Grand List","Number",1292151599
"Ellington","0901325360",2013,2014,2016,"Top 10 Total Grand List","Number",99174440
"Ellington","0901325360",2013,2014,2016,"Total Grand List","Number",1315960403
"Ellington","0901325360",2014,2017,2017,"Net Grand List","Number",1311524289
"Ellington","0901325360",2014,2017,2017,"Top 10 Total Grand List","Number",287010494
"Ellington","0901325360",2014,2017,2017,"Total Grand List","Number",1334478933
"Enfield","0900325990",2014,2015,2016,"Net Grand List","Number",2882768974
"Enfield","0900325990",2014,2015,2016,"Top 10 Total Grand List","Number",279957232
"Enfield","0900325990",2014,2015,2016,"Total Grand List","Number",2924870811
"Enfield","0900325990",2014,2015,2017,"Net Grand List","Number",2882768974
"Enfield","0900325990",2014,2015,2017,"Top 10 Total Grand List","Number",279957232
"Enfield","0900325990",2014,2015,2017,"Total Grand List","Number",2924870811
"Essex","0900726270",2014,2015,2016,"Net Grand List","Number",1033200611
"Essex","0900726270",2014,2015,2016,"Top 10 Total Grand List","Number",60505020
"Essex","0900726270",2014,2015,2016,"Total Grand List","Number",1048056444
"Essex","0900726270",2014,2015,2017,"Net Grand List","Number",1033200611
"Essex","0900726270",2014,2015,2017,"Top 10 Total Grand List","Number",60505020
"Essex","0900726270",2014,2015,2017,"Total Grand List","Number",1048056444
"Fairfield","0900126620",2014,2015,2016,"Net Grand List","Number",10975624915
"Fairfield","0900126620",2014,2015,2016,"Top 10 Total Grand List","Number",452802043
"Fairfield","0900126620",2014,2015,2016,"Total Grand List","Number",11021545153
"Fairfield","0900126620",2014,2015,2017,"Net Grand List","Number",10975624915
"Fairfield","0900126620",2014,2015,2017,"Top 10 Total Grand List","Number",452802043
"Fairfield","0900126620",2014,2015,2017,"Total Grand List","Number",11021545153
"Farmington","0900327600",2014,2015,2016,"Net Grand List","Number",3533281325
"Farmington","0900327600",2014,2015,2016,"Top 10 Total Grand List","Number",416464004
"Farmington","0900327600",2014,2015,2016,"Total Grand List","Number",3594688850
"Farmington","0900327600",2016,2017,2017,"Net Grand List","Number",3595959571
"Farmington","0900327600",2016,2017,2017,"Top 10 Total Grand List","Number",426896640
"Farmington","0900327600",2016,2017,2017,"Total Grand List","Number",3664627838
"Franklin","0901129910",2014,2015,2016,"Net Grand List","Number",191400520
"Franklin","0901129910",2014,2015,2016,"Top 10 Total Grand List","Number",22621740
"Franklin","0901129910",2014,2015,2016,"Total Grand List","Number",194119860
"Franklin","0901129910",2016,2017,2017,"Net Grand List","Number",204185571
"Franklin","0901129910",2016,2017,2017,"Top 10 Total Grand List","Number",32663850
"Franklin","0901129910",2016,2017,2017,"Total Grand List","Number",206929181
"Glastonbury","0900331240",2014,2015,2016,"Net Grand List","Number",3871305346
"Glastonbury","0900331240",2014,2015,2016,"Top 10 Total Grand List","Number",166955500
"Glastonbury","0900331240",2014,2015,2016,"Total Grand List","Number",4146389655
"Glastonbury","0900331240",2014,2015,2017,"Net Grand List","Number",3871305346
"Glastonbury","0900331240",2014,2015,2017,"Top 10 Total Grand List","Number",166955500
"Glastonbury","0900331240",2014,2015,2017,"Total Grand List","Number",4146389655
"Goshen","0900532290",2014,2015,2016,"Net Grand List","Number",523351320
"Goshen","0900532290",2014,2015,2016,"Top 10 Total Grand List","Number",23810940
"Goshen","0900532290",2014,2015,2016,"Total Grand List","Number",554213720
"Goshen","0900532290",2016,2017,2017,"Net Grand List","Number",528542130
"Goshen","0900532290",2016,2017,2017,"Top 10 Total Grand List","Number",24081150
"Goshen","0900532290",2016,2017,2017,"Total Grand List","Number",559933500
"Granby","0900332640",2012,2014,2016,"Net Grand List","Number",960153300
"Granby","0900332640",2012,2014,2016,"Top 10 Total Grand List","Number",32766890
"Granby","0900332640",2012,2014,2016,"Total Grand List","Number",964290200
"Granby","0900332640",2012,2014,2017,"Net Grand List","Number",960153300
"Granby","0900332640",2012,2014,2017,"Top 10 Total Grand List","Number",32766890
"Granby","0900332640",2012,2014,2017,"Total Grand List","Number",964290200
"Greenwich","0900133620",2014,2015,2016,"Net Grand List","Number",31086586390
"Greenwich","0900133620",2014,2015,2016,"Top 10 Total Grand List","Number",1033266290
"Greenwich","0900133620",2014,2015,2016,"Total Grand List","Number",31127490950
"Greenwich","0900133620",2014,2015,2017,"Net Grand List","Number",31086586390
"Greenwich","0900133620",2014,2015,2017,"Top 10 Total Grand List","Number",1033266290
"Greenwich","0900133620",2014,2015,2017,"Total Grand List","Number",31127490950
"Griswold","0901133900",2014,2015,2016,"Net Grand List","Number",704317811
"Griswold","0901133900",2014,2015,2016,"Top 10 Total Grand List","Number",0
"Griswold","0901133900",2014,2015,2016,"Total Grand List","Number",712031571
"Griswold","0901133900",2014,2015,2017,"Net Grand List","Number",704317811
"Griswold","0901133900",2014,2015,2017,"Top 10 Total Grand List","Number",0
"Griswold","0901133900",2014,2015,2017,"Total Grand List","Number",712031571
"Groton","0901134250",2014,2015,2016,"Net Grand List","Number",3820151399
"Groton","0901134250",2014,2015,2016,"Top 10 Total Grand List","Number",788275995
"Groton","0901134250",2014,2015,2016,"Total Grand List","Number",4026986893
"Groton","0901134250",2014,2017,2017,"Net Grand List","Number",3820151399
"Groton","0901134250",2014,2017,2017,"Top 10 Total Grand List","Number",788275995
"Groton","0901134250",2014,2017,2017,"Total Grand List","Number",5023118993
"Guilford","0900934950",2012,2013,2016,"Net Grand List","Number",3494942749
"Guilford","0900934950",2012,2013,2016,"Top 10 Total Grand List","Number",96164696
"Guilford","0900934950",2012,2013,2016,"Total Grand List","Number",3516977919
"Guilford","0900934950",2015,2017,2017,"Net Grand List","Number",3074936075
"Guilford","0900934950",2015,2017,2017,"Top 10 Total Grand List","Number",103715855
"Guilford","0900934950",2015,2017,2017,"Total Grand List","Number",3097760155
"Haddam","0900735230",2012,2013,2016,"Net Grand List","Number",901419307
"Haddam","0900735230",2012,2013,2016,"Top 10 Total Grand List","Number",86532680
"Haddam","0900735230",2012,2013,2016,"Total Grand List","Number",904391025
"Haddam","0900735230",2012,2013,2017,"Net Grand List","Number",901419307
"Haddam","0900735230",2012,2013,2017,"Top 10 Total Grand List","Number",86532680
"Haddam","0900735230",2012,2013,2017,"Total Grand List","Number",904391025
"Hamden","0900935650",2014,2015,2016,"Net Grand List","Number",4075493965
"Hamden","0900935650",2014,2015,2016,"Top 10 Total Grand List","Number",261938020
"Hamden","0900935650",2014,2015,2016,"Total Grand List","Number",4850492588
"Hamden","0900935650",2014,2015,2017,"Net Grand List","Number",4075493965
"Hamden","0900935650",2014,2015,2017,"Top 10 Total Grand List","Number",261938020
"Hamden","0900935650",2014,2015,2017,"Total Grand List","Number",4850492588
